2021-05-07 8:56:50 - PHP Notice:  Undefined offset: 0 in V:\domains\design\catalog\controller\product\category.php on line 223
2021-05-07 8:56:50 - PHP Notice:  Trying to access array offset on value of type null in V:\domains\design\catalog\controller\product\category.php on line 223
2021-05-07 8:56:50 - PHP Notice:  Undefined index: name in V:\domains\design\catalog\controller\product\category.php on line 229
2021-05-07 8:56:50 - PHP Notice:  Undefined variable: product_id in V:\domains\design\catalog\controller\product\category.php on line 221
2021-05-07 8:56:50 - PHP Notice:  Undefined offset: 0 in V:\domains\design\catalog\controller\product\category.php on line 223
2021-05-07 8:56:50 - PHP Notice:  Trying to access array offset on value of type null in V:\domains\design\catalog\controller\product\category.php on line 223
2021-05-07 8:56:50 - PHP Notice:  Undefined index: name in V:\domains\design\catalog\controller\product\category.php on line 229
2021-05-07 8:56:50 - PHP Notice:  Undefined variable: product_id in V:\domains\design\catalog\controller\product\category.php on line 221
2021-05-07 8:56:50 - PHP Notice:  Undefined offset: 0 in V:\domains\design\catalog\controller\product\category.php on line 223
2021-05-07 8:56:50 - PHP Notice:  Trying to access array offset on value of type null in V:\domains\design\catalog\controller\product\category.php on line 223
2021-05-07 8:56:50 - PHP Notice:  Undefined index: name in V:\domains\design\catalog\controller\product\category.php on line 229
2021-05-07 8:56:50 - PHP Notice:  Undefined variable: product_id in V:\domains\design\catalog\controller\product\category.php on line 221
2021-05-07 8:56:50 - PHP Notice:  Undefined offset: 0 in V:\domains\design\catalog\controller\product\category.php on line 223
2021-05-07 8:56:50 - PHP Notice:  Trying to access array offset on value of type null in V:\domains\design\catalog\controller\product\category.php on line 223
2021-05-07 8:56:50 - PHP Notice:  Undefined index: name in V:\domains\design\catalog\controller\product\category.php on line 229
2021-05-07 8:56:50 - PHP Notice:  Undefined variable: product_id in V:\domains\design\catalog\controller\product\category.php on line 221
2021-05-07 8:56:50 - PHP Notice:  Undefined offset: 0 in V:\domains\design\catalog\controller\product\category.php on line 223
2021-05-07 8:56:50 - PHP Notice:  Trying to access array offset on value of type null in V:\domains\design\catalog\controller\product\category.php on line 223
2021-05-07 8:56:50 - PHP Notice:  Undefined index: name in V:\domains\design\catalog\controller\product\category.php on line 229
2021-05-07 9:08:55 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:08:55 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:09:32 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:09:32 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:09:52 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:09:52 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:15:24 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:15:24 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:25:48 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
